time,cycle_speed_kph,cycle_accel_mps,elevation_m,road_grade_percent,road_angle_rad
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0.03,0,0,0
12,0.2,0.24,0,0,0
13,1.7,0.72,0,0,0
14,5.4,1.14,0,0,0
15,9.9,1.07,0,0,0
16,13.1,0.97,0,0,0
17,16.9,1.19,0,0,0
18,21.7,1.26,0,0,0
19,26,0.81,0,0,0
20,27.5,0.29,0,0,0
21,28.1,0.11,0,0,0
22,28.3,0.1,0,0,0
23,28.8,0.11,0,0,0
24,29.1,0.28,0,0,0
25,30.8,0.39,0,0,0
26,31.9,0.46,0,0,0
27,34.1,0.65,0,0,0
28,36.6,0.69,0,0,0
29,39.1,0.65,0,0,0
30,41.3,0.47,0,0,0
31,42.5,0.28,0,0,0
32,43.3,0.19,0,0,0
33,43.9,0.15,0,0,0
34,44.4,0.08,0,0,0
35,44.5,-0.03,0,0,0
36,44.2,-0.25,0,0,0
37,42.7,-0.6,0,0,0
38,39.9,-0.79,0,0,0
39,37,-0.74,0,0,0
40,34.6,-0.65,0,0,0
41,32.3,-0.78,0,0,0
42,29,-1,0,0,0
43,25.1,-0.94,0,0,0
44,22.2,-0.58,0,0,0
45,20.9,-0.25,0,0,0
46,20.4,-0.19,0,0,0
47,19.5,-0.28,0,0,0
48,18.4,-0.24,0,0,0
49,17.8,-0.08,0,0,0
50,17.8,-0.06,0,0,0
51,17.4,-0.29,0,0,0
52,15.7,-0.6,0,0,0
53,13.1,-0.5,0,0,0
54,12.1,-0.15,0,0,0
55,12,-0.01,0,0,0
56,12,0,0,0,0
57,12,0.04,0,0,0
58,12.3,0.08,0,0,0
59,12.6,0.33,0,0,0
60,14.7,0.38,0,0,0
61,15.3,0.17,0,0,0
62,15.9,0.13,0,0,0
63,16.2,0.17,0,0,0
64,17.1,0.22,0,0,0
65,17.8,0.14,0,0,0
66,18.1,0.08,0,0,0
67,18.4,0.31,0,0,0
68,20.3,0.67,0,0,0
69,23.2,0.86,0,0,0
70,26.5,0.92,0,0,0
71,29.8,0.85,0,0,0
72,32.6,0.64,0,0,0
73,34.4,0.4,0,0,0
74,35.5,0.28,0,0,0
75,36.4,0.26,0,0,0
76,37.4,0.29,0,0,0
77,38.5,0.26,0,0,0
78,39.3,0.14,0,0,0
79,39.5,-0.04,0,0,0
80,39,-0.14,0,0,0
81,38.5,-0.24,0,0,0
82,37.3,-0.21,0,0,0
83,37,-0.08,0,0,0
84,36.7,-0.15,0,0,0
85,35.9,-0.19,0,0,0
86,35.3,-0.18,0,0,0
87,34.6,-0.15,0,0,0
88,34.2,-0.38,0,0,0
89,31.9,-0.96,0,0,0
90,27.3,-1.38,0,0,0
91,22,-1.43,0,0,0
92,17,-1.08,0,0,0
93,14.2,-0.69,0,0,0
94,12,-0.71,0,0,0
95,9.1,-0.86,0,0,0
96,5.8,-0.76,0,0,0
97,3.6,-0.5,0,0,0
98,2.2,-0.5,0,0,0
99,0,-0.31,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0,0,0,0
133,0,0,0,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0.03,0,0,0
138,0.2,0.26,0,0,0
139,1.9,0.82,0,0,0
140,6.1,1.36,0,0,0
141,11.7,1.43,0,0,0
142,16.4,1,0,0,0
143,18.9,0.49,0,0,0
144,19.9,0.26,0,0,0
145,20.8,0.4,0,0,0
146,22.8,0.64,0,0,0
147,25.4,0.68,0,0,0
148,27.7,0.53,0,0,0
149,29.2,0.29,0,0,0
150,29.8,0.03,0,0,0
151,29.4,-0.36,0,0,0
152,27.2,-0.94,0,0,0
153,22.6,-1.38,0,0,0
154,17.3,-1.29,0,0,0
155,13.3,-0.74,0,0,0
156,12,-0.1,0,0,0
157,12.6,0.29,0,0,0
158,14.1,0.64,0,0,0
159,17.2,0.83,0,0,0
160,20.1,0.86,0,0,0
161,23.4,0.75,0,0,0
162,25.5,0.58,0,0,0
163,27.6,0.56,0,0,0
164,29.5,0.49,0,0,0
165,31.1,0.36,0,0,0
166,32.1,0.29,0,0,0
167,33.2,0.43,0,0,0
168,35.2,0.56,0,0,0
169,37.2,0.39,0,0,0
170,38,0.03,0,0,0
171,37.4,-0.4,0,0,0
172,35.1,-0.89,0,0,0
173,31,-1.11,0,0,0
174,27.1,-0.79,0,0,0
175,25.3,-0.28,0,0,0
176,25.1,0.08,0,0,0
177,25.9,0.38,0,0,0
178,27.8,0.46,0,0,0
179,29.2,0.25,0,0,0
180,29.6,0.04,0,0,0
181,29.5,-0.06,0,0,0
182,29.2,-0.17,0,0,0
183,28.3,-0.43,0,0,0
184,26.1,-0.65,0,0,0
185,23.6,-0.71,0,0,0
186,21,-0.65,0,0,0
187,18.9,-0.54,0,0,0
188,17.1,-0.44,0,0,0
189,15.7,-0.36,0,0,0
190,14.5,-0.28,0,0,0
191,13.7,-0.22,0,0,0
192,12.9,-0.17,0,0,0
193,12.5,-0.1,0,0,0
194,12.2,-0.07,0,0,0
195,12,-0.03,0,0,0
196,12,0,0,0,0
197,12,0,0,0,0
198,12,0.07,0,0,0
199,12.5,0.14,0,0,0
200,13,0.21,0,0,0
201,14,0.28,0,0,0
202,15,0.35,0,0,0
203,16.5,0.56,0,0,0
204,19,0.65,0,0,0
205,21.2,0.67,0,0,0
206,23.8,0.79,0,0,0
207,26.9,0.81,0,0,0
208,29.6,0.71,0,0,0
209,32,0.78,0,0,0
210,35.2,0.76,0,0,0
211,37.5,0.56,0,0,0
212,39.2,0.42,0,0,0
213,40.5,0.33,0,0,0
214,41.6,0.36,0,0,0
215,43.1,0.47,0,0,0
216,45,0.56,0,0,0
217,47.1,0.56,0,0,0
218,49,0.49,0,0,0
219,50.6,0.39,0,0,0
220,51.8,0.29,0,0,0
221,52.7,0.18,0,0,0
222,53.1,0.11,0,0,0
223,53.5,0.1,0,0,0
224,53.8,0.1,0,0,0
225,54.2,0.14,0,0,0
226,54.8,0.15,0,0,0
227,55.3,0.14,0,0,0
228,55.8,0.13,0,0,0
229,56.2,0.1,0,0,0
230,56.5,0.04,0,0,0
231,56.5,-0.04,0,0,0
232,56.2,-0.22,0,0,0
233,54.9,-0.46,0,0,0
234,52.9,-0.54,0,0,0
235,51,-0.43,0,0,0
236,49.8,-0.25,0,0,0
237,49.2,-0.19,0,0,0
238,48.4,-0.32,0,0,0
239,46.9,-0.57,0,0,0
240,44.3,-0.75,0,0,0
241,41.5,-0.67,0,0,0
242,39.5,-0.63,0,0,0
243,37,-0.68,0,0,0
244,34.6,-0.65,0,0,0
245,32.3,-0.78,0,0,0
246,29,-1,0,0,0
247,25.1,-0.94,0,0,0
248,22.2,-0.58,0,0,0
249,20.9,-0.25,0,0,0
250,20.4,-0.19,0,0,0
251,19.5,-0.28,0,0,0
252,18.4,-0.24,0,0,0
253,17.8,-0.08,0,0,0
254,17.8,-0.06,0,0,0
255,17.4,-0.29,0,0,0
256,15.7,-0.4,0,0,0
257,14.5,-0.04,0,0,0
258,15.4,0.47,0,0,0
259,17.9,0.72,0,0,0
260,20.6,0.74,0,0,0
261,23.2,0.71,0,0,0
262,25.7,0.76,0,0,0
263,28.7,0.94,0,0,0
264,32.5,1.03,0,0,0
265,36.1,0.9,0,0,0
266,39,0.65,0,0,0
267,40.8,0.54,0,0,0
268,42.9,0.5,0,0,0
269,44.4,0.42,0,0,0
270,45.9,0.22,0,0,0
271,46,-0.04,0,0,0
272,45.6,-0.1,0,0,0
273,45.3,-0.26,0,0,0
274,43.7,-0.63,0,0,0
275,40.8,-0.79,0,0,0
276,38,-0.89,0,0,0
277,34.4,-0.99,0,0,0
278,30.9,-1.24,0,0,0
279,25.5,-1.32,0,0,0
280,21.4,-0.74,0,0,0
281,20.2,0.21,0,0,0
282,22.9,0.89,0,0,0
283,26.6,1.01,0,0,0
284,30.2,1.04,0,0,0
285,34.1,1,0,0,0
286,37.4,0.92,0,0,0
287,40.7,0.92,0,0,0
288,44,0.92,0,0,0
289,47.3,0.72,0,0,0
290,49.2,0.35,0,0,0
291,49.8,0,0,0,0
292,49.2,-0.24,0,0,0
293,48.1,-0.26,0,0,0
